Font: cinecaption  Style: Regular
Point Size: 57   SP/PD Ratio: 8.8%

Characters included: 4288/7145
Missing characters: 2857
Excluded characters: 0

Characters missing from font file:
----------------------------------------
ID: 12316	Hex: 301C	Char [〜]
ID: 220	Hex: DC	Char [Ü]
ID: 221	Hex: DD	Char [Ý]
ID: 222	Hex: DE	Char [Þ]
ID: 223	Hex: DF	Char [ß]
ID: 224	Hex: E0	Char [à]
ID: 225	Hex: E1	Char [á]
ID: 226	Hex: E2	Char [â]
ID: 227	Hex: E3	Char [ã]
ID: 228	Hex: E4	Char [ä]
ID: 229	Hex: E5	Char [å]
ID: 230	Hex: E6	Char [æ]
ID: 231	Hex: E7	Char [ç]
ID: 232	Hex: E8	Char [è]
ID: 233	Hex: E9	Char [é]
ID: 234	Hex: EA	Char [ê]
ID: 235	Hex: EB	Char [ë]
ID: 236	Hex: EC	Char [ì]
ID: 237	Hex: ED	Char [í]
ID: 238	Hex: EE	Char [î]
ID: 239	Hex: EF	Char [ï]
ID: 240	Hex: F0	Char [ð]
ID: 241	Hex: F1	Char [ñ]
ID: 242	Hex: F2	Char [ò]
ID: 243	Hex: F3	Char [ó]
ID: 244	Hex: F4	Char [ô]
ID: 245	Hex: F5	Char [õ]
ID: 246	Hex: F6	Char [ö]
ID: 248	Hex: F8	Char [ø]
ID: 249	Hex: F9	Char [ù]
ID: 250	Hex: FA	Char [ú]
ID: 251	Hex: FB	Char [û]
ID: 252	Hex: FC	Char [ü]
ID: 253	Hex: FD	Char [ý]
ID: 254	Hex: FE	Char [þ]
ID: 255	Hex: FF	Char [ÿ]
ID: 8210	Hex: 2012	Char [‒]
ID: 8211	Hex: 2013	Char [–]
ID: 8212	Hex: 2014	Char [—]
ID: 8214	Hex: 2016	Char [‖]
ID: 8215	Hex: 2017	Char [‗]
ID: 8218	Hex: 201A	Char [‚]
ID: 8219	Hex: 201B	Char [‛]
ID: 8222	Hex: 201E	Char [„]
ID: 8223	Hex: 201F	Char [‟]
ID: 8226	Hex: 2022	Char [•]
ID: 8239	Hex: 202F	Char [ ]
ID: 8244	Hex: 2034	Char [‴]
ID: 8249	Hex: 2039	Char [‹]
ID: 8250	Hex: 203A	Char [›]
ID: 8252	Hex: 203C	Char [‼]
ID: 8254	Hex: 203E	Char [‾]
ID: 8260	Hex: 2044	Char [⁄]
ID: 8286	Hex: 205E	Char [⁞]
ID: 8298	Hex: 206A	Char [⁪]
ID: 8299	Hex: 206B	Char [⁫]
ID: 8300	Hex: 206C	Char [⁬]
ID: 8301	Hex: 206D	Char [⁭]
ID: 8302	Hex: 206E	Char [⁮]
ID: 8303	Hex: 206F	Char [⁯]
ID: 8364	Hex: 20AC	Char [€]
ID: 8482	Hex: 2122	Char [™]
ID: 20098	Hex: 4E82	Char [亂]
ID: 20101	Hex: 4E85	Char [亅]
ID: 35947	Hex: 8C6B	Char [豫]
ID: 20106	Hex: 4E8A	Char [亊]
ID: 33298	Hex: 8212	Char [舒]
ID: 20144	Hex: 4EB0	Char [亰]
ID: 20147	Hex: 4EB3	Char [亳]
ID: 20150	Hex: 4EB6	Char [亶]
ID: 20166	Hex: 4EC6	Char [仆]
ID: 20162	Hex: 4EC2	Char [仂]
ID: 20183	Hex: 4ED7	Char [仗]
ID: 20681	Hex: 50C9	Char [僉]
ID: 20682	Hex: 50CA	Char [僊]
ID: 20659	Hex: 50B3	Char [傳]
ID: 20674	Hex: 50C2	Char [僂]
ID: 20702	Hex: 50DE	Char [僞]
ID: 20707	Hex: 50E3	Char [僣]
ID: 20729	Hex: 50F9	Char [價]
ID: 20725	Hex: 50F5	Char [僵]
ID: 20745	Hex: 5109	Char [儉]
ID: 20737	Hex: 5101	Char [儁]
ID: 20758	Hex: 5116	Char [儖]
ID: 20757	Hex: 5115	Char [儕]
ID: 20769	Hex: 5121	Char [儡]
ID: 20794	Hex: 513A	Char [儺]
ID: 20791	Hex: 5137	Char [儷]
ID: 20796	Hex: 513C	Char [儼]
ID: 20795	Hex: 513B	Char [儻]
ID: 20812	Hex: 514C	Char [兌]
ID: 20834	Hex: 5162	Char [兢]
ID: 31480	Hex: 7AF8	Char [竸]
ID: 36775	Hex: 8FA7	Char [辧]
ID: 21164	Hex: 52AC	Char [劬]
ID: 21165	Hex: 52AD	Char [劭]
ID: 21180	Hex: 52BC	Char [劼]
ID: 21173	Hex: 52B5	Char [劵]
ID: 21197	Hex: 52CD	Char [勍]
ID: 21207	Hex: 52D7	Char [勗]
ID: 21219	Hex: 52E3	Char [勣]
ID: 21222	Hex: 52E6	Char [勦]
ID: 39149	Hex: 98ED	Char [飭]
ID: 21216	Hex: 52E0	Char [勠]
ID: 21235	Hex: 52F3	Char [勳]
ID: 21237	Hex: 52F5	Char [勵]
ID: 21240	Hex: 52F8	Char [勸]
ID: 21254	Hex: 5306	Char [匆]
ID: 21256	Hex: 5308	Char [匈]
ID: 21261	Hex: 530D	Char [匍]
ID: 21264	Hex: 5310	Char [匐]
ID: 21263	Hex: 530F	Char [匏]
ID: 21295	Hex: 532F	Char [匯]
ID: 21297	Hex: 5331	Char [匱]
ID: 21299	Hex: 5333	Char [匳]
ID: 21675	Hex: 54AB	Char [咫]
ID: 21694	Hex: 54BE	Char [咾]
ID: 21692	Hex: 54BC	Char [咼]
ID: 21720	Hex: 54D8	Char [哘]
ID: 21733	Hex: 54E5	Char [哥]
ID: 21734	Hex: 54E6	Char [哦]
ID: 21775	Hex: 550F	Char [唏]
ID: 21780	Hex: 5514	Char [唔]
ID: 21757	Hex: 54FD	Char [哽]
ID: 21754	Hex: 54FA	Char [哺]
ID: 21730	Hex: 54E2	Char [哢]
ID: 21817	Hex: 5539	Char [唹]
ID: 21824	Hex: 5540	Char [啀]
ID: 21859	Hex: 5563	Char [啣]
ID: 21836	Hex: 554C	Char [啌]
ID: 21806	Hex: 552E	Char [售]
ID: 21852	Hex: 555C	Char [啜]
ID: 21846	Hex: 5556	Char [啖]
ID: 21847	Hex: 5557	Char [啗]
ID: 21811	Hex: 5533	Char [唳]
ID: 21853	Hex: 555D	Char [啝]
ID: 21913	Hex: 5599	Char [喙]
ID: 21888	Hex: 5580	Char [喀]
ID: 21679	Hex: 54AF	Char [咯]
ID: 21898	Hex: 558A	Char [喊]
ID: 22280	Hex: 5708	Char [圈]
ID: 22285	Hex: 570D	Char [圍]
ID: 22294	Hex: 5716	Char [圖]
ID: 22300	Hex: 571C	Char [圜]
ID: 22328	Hex: 5738	Char [圸]
ID: 22350	Hex: 574E	Char [坎]
ID: 22331	Hex: 573B	Char [圻]
ID: 22336	Hex: 5740	Char [址]
ID: 22399	Hex: 577F	Char [坿]
ID: 22409	Hex: 5789	Char [垉]
ID: 22419	Hex: 5793	Char [垓]
ID: 22432	Hex: 57A0	Char [垠]
ID: 22436	Hex: 57A4	Char [垤]
ID: 22470	Hex: 57C6	Char [埆]
ID: 22484	Hex: 57D4	Char [埔]
ID: 22482	Hex: 57D2	Char [埒]
ID: 22913	Hex: 5981	Char [妁]
ID: 22941	Hex: 599D	Char [妝]
ID: 20318	Hex: 4F5E	Char [佞]
ID: 20395	Hex: 4FAB	Char [侫]
ID: 22947	Hex: 59A3	Char [妣]
ID: 22982	Hex: 59C6	Char [姆]
ID: 23016	Hex: 59E8	Char [姨]
ID: 22925	Hex: 598D	Char [妍]
ID: 23001	Hex: 59D9	Char [姙]
ID: 23002	Hex: 59DA	Char [姚]
ID: 23077	Hex: 5A25	Char [娥]
ID: 23071	Hex: 5A1F	Char [娟]
ID: 23057	Hex: 5A11	Char [娑]
ID: 23068	Hex: 5A1C	Char [娜]
ID: 23049	Hex: 5A09	Char [娉]
ID: 23104	Hex: 5A40	Char [婀]
ID: 23148	Hex: 5A6C	Char [婬]
ID: 23093	Hex: 5A35	Char [娵]
ID: 23138	Hex: 5A62	Char [婢]
ID: 23146	Hex: 5A6A	Char [婪]
ID: 23228	Hex: 5ABC	Char [媼]
ID: 23230	Hex: 5ABE	Char [媾]
ID: 23632	Hex: 5C50	Char [屐]
ID: 23409	Hex: 5B71	Char [孱]
ID: 23660	Hex: 5C6C	Char [屬]
ID: 23662	Hex: 5C6E	Char [屮]
ID: 20066	Hex: 4E62	Char [乢]
ID: 23670	Hex: 5C76	Char [屶]
ID: 23673	Hex: 5C79	Char [屹]
ID: 23692	Hex: 5C8C	Char [岌]
ID: 23700	Hex: 5C94	Char [岔]
ID: 22939	Hex: 599B	Char [妛]
ID: 23734	Hex: 5CB6	Char [岶]
ID: 23740	Hex: 5CBC	Char [岼]
ID: 23735	Hex: 5CB7	Char [岷]
ID: 23749	Hex: 5CC5	Char [峅]
ID: 23742	Hex: 5CBE	Char [岾]
ID: 23769	Hex: 5CD9	Char [峙]
ID: 23785	Hex: 5CE9	Char [峩]
ID: 23805	Hex: 5CFD	Char [峽]
ID: 23802	Hex: 5CFA	Char [峺]
ID: 23789	Hex: 5CED	Char [峭]
ID: 23786	Hex: 5CEA	Char [峪]
ID: 23819	Hex: 5D0B	Char [崋]
ID: 23829	Hex: 5D15	Char [崕]
ID: 23831	Hex: 5D17	Char [崗]
ID: 23900	Hex: 5D5C	Char [嵜]
ID: 24278	Hex: 5ED6	Char [廖]
ID: 24285	Hex: 5EDD	Char [廝]
ID: 24282	Hex: 5EDA	Char [廚]
ID: 24283	Hex: 5EDB	Char [廛]
ID: 24290	Hex: 5EE2	Char [廢]
ID: 24289	Hex: 5EE1	Char [廡]
ID: 24296	Hex: 5EE8	Char [廨]
ID: 24297	Hex: 5EE9	Char [廩]
ID: 24300	Hex: 5EEC	Char [廬]
ID: 24305	Hex: 5EF1	Char [廱]
ID: 24307	Hex: 5EF3	Char [廳]
ID: 24304	Hex: 5EF0	Char [廰]
ID: 24312	Hex: 5EF8	Char [廸]
ID: 24318	Hex: 5EFE	Char [廾]
ID: 24323	Hex: 5F03	Char [弃]
ID: 24329	Hex: 5F09	Char [弉]
ID: 24413	Hex: 5F5D	Char [彝]
ID: 24412	Hex: 5F5C	Char [彜]
ID: 24337	Hex: 5F11	Char [弑]
ID: 24342	Hex: 5F16	Char [弖]
ID: 24365	Hex: 5F2D	Char [弭]
ID: 24376	Hex: 5F38	Char [弸]
ID: 24385	Hex: 5F41	Char [彁]
ID: 24392	Hex: 5F48	Char [彈]
ID: 24398	Hex: 5F4E	Char [彎]
ID: 24367	Hex: 5F2F	Char [弯]
ID: 24708	Hex: 6084	Char [悄]
ID: 24731	Hex: 609B	Char [悛]
ID: 24726	Hex: 6096	Char [悖]
ID: 24727	Hex: 6097	Char [悗]
ID: 24722	Hex: 6092	Char [悒]
ID: 24743	Hex: 60A7	Char [悧]
ID: 24715	Hex: 608B	Char [悋]
ID: 24800	Hex: 60E0	Char [惠]
ID: 24787	Hex: 60D3	Char [惓]
ID: 24756	Hex: 60B4	Char [悴]
ID: 24765	Hex: 60BD	Char [悽]
ID: 24774	Hex: 60C6	Char [惆]
ID: 24757	Hex: 60B5	Char [悵]
ID: 24792	Hex: 60D8	Char [惘]
ID: 24909	Hex: 614D	Char [慍]
ID: 24853	Hex: 6115	Char [愕]
ID: 24838	Hex: 6106	Char [愆]
ID: 24822	Hex: 60F6	Char [惶]
ID: 24823	Hex: 60F7	Char [惷]
ID: 24832	Hex: 6100	Char [愀]
ID: 24820	Hex: 60F4	Char [惴]
ID: 24835	Hex: 6103	Char [愃]
ID: 24865	Hex: 6121	Char [愡]
ID: 24827	Hex: 60FB	Char [惻]
ID: 24817	Hex: 60F1	Char [惱]
ID: 24845	Hex: 610D	Char [愍]
ID: 24846	Hex: 610E	Char [愎]
ID: 25118	Hex: 621E	Char [戞]
ID: 25121	Hex: 6221	Char [戡]
ID: 25130	Hex: 622A	Char [截]
ID: 25136	Hex: 6230	Char [戰]
ID: 25138	Hex: 6232	Char [戲]
ID: 25139	Hex: 6233	Char [戳]
ID: 25153	Hex: 6241	Char [扁]
ID: 25166	Hex: 624E	Char [扎]
ID: 25182	Hex: 625E	Char [扞]
ID: 25179	Hex: 625B	Char [扛]
ID: 25184	Hex: 6260	Char [扠]
ID: 25192	Hex: 6268	Char [扨]
ID: 25212	Hex: 627C	Char [扼]
ID: 25218	Hex: 6282	Char [抂]
ID: 25225	Hex: 6289	Char [抉]
ID: 25214	Hex: 627E	Char [找]
ID: 25234	Hex: 6292	Char [抒]
ID: 25238	Hex: 6296	Char [抖]
ID: 25300	Hex: 62D4	Char [拔]
ID: 25219	Hex: 6283	Char [抃]
ID: 25236	Hex: 6294	Char [抔]
ID: 25297	Hex: 62D1	Char [拑]
ID: 25275	Hex: 62BB	Char [抻]
ID: 25295	Hex: 62CF	Char [拏]
ID: 25286	Hex: 62C6	Char [拆]
ID: 25812	Hex: 64D4	Char [擔]
ID: 25818	Hex: 64DA	Char [據]
ID: 25810	Hex: 64D2	Char [擒]
ID: 25797	Hex: 64C5	Char [擅]
ID: 25799	Hex: 64C7	Char [擇]
ID: 25816	Hex: 64D8	Char [擘]
ID: 25794	Hex: 64C2	Char [擂]
ID: 25841	Hex: 64F1	Char [擱]
ID: 25831	Hex: 64E7	Char [擧]
ID: 33289	Hex: 8209	Char [舉]
ID: 25824	Hex: 64E0	Char [擠]
ID: 25825	Hex: 64E1	Char [擡]
ID: 25260	Hex: 62AC	Char [抬]
ID: 25827	Hex: 64E3	Char [擣]
ID: 25839	Hex: 64EF	Char [擯]
ID: 25900	Hex: 652C	Char [攬]
ID: 25846	Hex: 64F6	Char [擶]
ID: 25844	Hex: 64F4	Char [擴]
ID: 25850	Hex: 64FA	Char [擺]
ID: 25856	Hex: 6500	Char [攀]
ID: 25853	Hex: 64FD	Char [擽]
ID: 25880	Hex: 6518	Char [攘]
ID: 25884	Hex: 651C	Char [攜]
ID: 25861	Hex: 6505	Char [攅]
ID: 25892	Hex: 6524	Char [攤]
ID: 25908	Hex: 6534	Char [攴]
ID: 25909	Hex: 6535	Char [攵]
ID: 25911	Hex: 6537	Char [攷]
ID: 26308	Hex: 66C4	Char [曄]
ID: 26296	Hex: 66B8	Char [暸]
ID: 26330	Hex: 66DA	Char [曚]
ID: 26336	Hex: 66E0	Char [曠]
ID: 26175	Hex: 663F	Char [昿]
ID: 26342	Hex: 66E6	Char [曦]
ID: 26345	Hex: 66E9	Char [曩]
ID: 26359	Hex: 66F7	Char [曷]
ID: 26383	Hex: 670F	Char [朏]
ID: 26390	Hex: 6716	Char [朖]
ID: 26398	Hex: 671E	Char [朞]
ID: 38712	Hex: 9738	Char [霸]
ID: 26414	Hex: 672E	Char [朮]
ID: 26431	Hex: 673F	Char [朿]
ID: 26424	Hex: 6738	Char [朸]
ID: 26423	Hex: 6737	Char [朷]
ID: 26438	Hex: 6746	Char [杆]
ID: 26457	Hex: 6759	Char [杙]
ID: 26468	Hex: 6764	Char [杤]
ID: 26505	Hex: 6789	Char [枉]
ID: 26836	Hex: 68D4	Char [棔]
ID: 26855	Hex: 68E7	Char [棧]
ID: 26837	Hex: 68D5	Char [棕]
ID: 26934	Hex: 6936	Char [椶]
ID: 26898	Hex: 6912	Char [椒]
ID: 26884	Hex: 6904	Char [椄]
ID: 26839	Hex: 68D7	Char [棗]
ID: 26851	Hex: 68E3	Char [棣]
ID: 26873	Hex: 68F9	Char [棹]
ID: 26848	Hex: 68E0	Char [棠]
ID: 26920	Hex: 6928	Char [椨]
ID: 26922	Hex: 692A	Char [椪]
ID: 26915	Hex: 6923	Char [椣]
ID: 26822	Hex: 68C6	Char [棆]
ID: 27001	Hex: 6979	Char [楹]
ID: 26999	Hex: 6977	Char [楷]
ID: 27000	Hex: 6978	Char [楸]
ID: 26987	Hex: 696B	Char [楫]
ID: 26964	Hex: 6954	Char [楔]
ID: 27006	Hex: 697E	Char [楾]
ID: 26996	Hex: 6974	Char [楴]
ID: 26941	Hex: 693D	Char [椽]
ID: 26969	Hex: 6959	Char [楙]
ID: 27287	Hex: 6A97	Char [檗]
ID: 34327	Hex: 8617	Char [蘗]
ID: 27331	Hex: 6AC3	Char [櫃]
ID: 27320	Hex: 6AB8	Char [檸]
ID: 27315	Hex: 6AB3	Char [檳]
ID: 27308	Hex: 6AAC	Char [檬]
ID: 27358	Hex: 6ADE	Char [櫞]
ID: 27345	Hex: 6AD1	Char [櫑]
ID: 27359	Hex: 6ADF	Char [櫟]
ID: 27306	Hex: 6AAA	Char [檪]
ID: 27354	Hex: 6ADA	Char [櫚]
ID: 27370	Hex: 6AEA	Char [櫪]
ID: 27397	Hex: 6B05	Char [欅]
ID: 34326	Hex: 8616	Char [蘖]
ID: 27386	Hex: 6AFA	Char [櫺]
ID: 27410	Hex: 6B12	Char [欒]
ID: 27414	Hex: 6B16	Char [欖]
ID: 27423	Hex: 6B1F	Char [欟]
ID: 27448	Hex: 6B38	Char [欸]
ID: 27447	Hex: 6B37	Char [欷]
ID: 30428	Hex: 76DC	Char [盜]
ID: 27449	Hex: 6B39	Char [欹]
ID: 39150	Hex: 98EE	Char [飮]
ID: 27463	Hex: 6B47	Char [歇]
ID: 27459	Hex: 6B43	Char [歃]
ID: 27465	Hex: 6B49	Char [歉]
ID: 27472	Hex: 6B50	Char [歐]
ID: 27834	Hex: 6CBA	Char [沺]
ID: 27867	Hex: 6CDB	Char [泛]
ID: 27887	Hex: 6CEF	Char [泯]
ID: 27865	Hex: 6CD9	Char [泙]
ID: 27935	Hex: 6D1F	Char [洟]
ID: 34893	Hex: 884D	Char [衍]
ID: 27958	Hex: 6D36	Char [洶]
ID: 27947	Hex: 6D2B	Char [洫]
ID: 27965	Hex: 6D3D	Char [洽]
ID: 27929	Hex: 6D19	Char [洙]
ID: 27955	Hex: 6D33	Char [洳]
ID: 27916	Hex: 6D0C	Char [洌]
ID: 28003	Hex: 6D63	Char [浣]
ID: 28004	Hex: 6D64	Char [浤]
ID: 27994	Hex: 6D5A	Char [浚]
ID: 28025	Hex: 6D79	Char [浹]
ID: 27993	Hex: 6D59	Char [浙]
ID: 28053	Hex: 6D95	Char [涕]
ID: 28037	Hex: 6D85	Char [涅]
ID: 28153	Hex: 6DF9	Char [淹]
ID: 28170	Hex: 6E0A	Char [渊]
ID: 28085	Hex: 6DB5	Char [涵]
ID: 28103	Hex: 6DC7	Char [淇]
ID: 28478	Hex: 6F3E	Char [漾]
ID: 28435	Hex: 6F13	Char [漓]
ID: 28407	Hex: 6EF7	Char [滷]
ID: 28550	Hex: 6F86	Char [澆]
ID: 28538	Hex: 6F7A	Char [潺]
ID: 28536	Hex: 6F78	Char [潸]
ID: 28545	Hex: 6F81	Char [澁]
ID: 28544	Hex: 6F80	Char [澀]
ID: 28527	Hex: 6F6F	Char [潯]
ID: 28507	Hex: 6F5B	Char [潛]
ID: 28659	Hex: 6FF3	Char [濳]
ID: 28525	Hex: 6F6D	Char [潭]
ID: 28546	Hex: 6F82	Char [澂]
ID: 28540	Hex: 6F7C	Char [潼]
ID: 28504	Hex: 6F58	Char [潘]
ID: 28558	Hex: 6F8E	Char [澎]
ID: 28561	Hex: 6F91	Char [澑]
ID: 28610	Hex: 6FC2	Char [濂]
ID: 28518	Hex: 6F66	Char [潦]
ID: 28595	Hex: 6FB3	Char [澳]
ID: 28579	Hex: 6FA3	Char [澣]
ID: 28577	Hex: 6FA1	Char [澡]
ID: 28601	Hex: 6FB9	Char [澹]
ID: 28614	Hex: 6FC6	Char [濆]
ID: 28639	Hex: 6FDF	Char [濟]
ID: 28629	Hex: 6FD5	Char [濕]
ID: 28652	Hex: 6FEC	Char [濬]
ID: 28628	Hex: 6FD4	Char [濔]
ID: 28632	Hex: 6FD8	Char [濘]
ID: 29177	Hex: 71F9	Char [燹]
ID: 29197	Hex: 720D	Char [爍]
ID: 29200	Hex: 7210	Char [爐]
ID: 29211	Hex: 721B	Char [爛]
ID: 29224	Hex: 7228	Char [爨]
ID: 29229	Hex: 722D	Char [爭]
ID: 29228	Hex: 722C	Char [爬]
ID: 29232	Hex: 7230	Char [爰]
ID: 29234	Hex: 7232	Char [爲]
ID: 29243	Hex: 723B	Char [爻]
ID: 29247	Hex: 723F	Char [爿]
ID: 29248	Hex: 7240	Char [牀]
ID: 29254	Hex: 7246	Char [牆]
ID: 29259	Hex: 724B	Char [牋]
ID: 29272	Hex: 7258	Char [牘]
ID: 29300	Hex: 7274	Char [牴]
ID: 29310	Hex: 727E	Char [牾]
ID: 29314	Hex: 7282	Char [犂]
ID: 29313	Hex: 7281	Char [犁]
ID: 29319	Hex: 7287	Char [犇]
ID: 29330	Hex: 7292	Char [犒]
ID: 29334	Hex: 7296	Char [犖]
ID: 29346	Hex: 72A2	Char [犢]
ID: 29351	Hex: 72A7	Char [犧]
ID: 29369	Hex: 72B9	Char [犹]
ID: 29362	Hex: 72B2	Char [犲]
ID: 29379	Hex: 72C3	Char [狃]
ID: 29382	Hex: 72C6	Char [狆]
ID: 29380	Hex: 72C4	Char [狄]
ID: 29920	Hex: 74E0	Char [瓠]
ID: 29923	Hex: 74E3	Char [瓣]
ID: 29927	Hex: 74E7	Char [瓧]
ID: 29929	Hex: 74E9	Char [瓩]
ID: 29934	Hex: 74EE	Char [瓮]
ID: 29938	Hex: 74F2	Char [瓲]
ID: 29936	Hex: 74F0	Char [瓰]
ID: 29937	Hex: 74F1	Char [瓱]
ID: 29944	Hex: 74F8	Char [瓸]
ID: 29943	Hex: 74F7	Char [瓷]
ID: 29956	Hex: 7504	Char [甄]
ID: 29955	Hex: 7503	Char [甃]
ID: 29957	Hex: 7505	Char [甅]
ID: 29964	Hex: 750C	Char [甌]
ID: 29966	Hex: 750E	Char [甎]
ID: 29965	Hex: 750D	Char [甍]
ID: 29973	Hex: 7515	Char [甕]
ID: 29971	Hex: 7513	Char [甓]
ID: 29982	Hex: 751E	Char [甞]
ID: 29996	Hex: 752C	Char [甬]
ID: 30012	Hex: 753C	Char [甼]
ID: 30020	Hex: 7544	Char [畄]
ID: 30029	Hex: 754D	Char [畍]
ID: 30026	Hex: 754A	Char [畊]
ID: 30025	Hex: 7549	Char [畉]
ID: 30043	Hex: 755B	Char [畛]
ID: 30022	Hex: 7546	Char [畆]
ID: 30042	Hex: 755A	Char [畚]
ID: 30057	Hex: 7569	Char [畩]
ID: 30052	Hex: 7564	Char [畤]
ID: 30336	Hex: 7680	Char [皀]
ID: 30339	Hex: 7683	Char [皃]
ID: 30344	Hex: 7688	Char [皈]
ID: 30347	Hex: 768B	Char [皋]
ID: 30350	Hex: 768E	Char [皎]
ID: 30358	Hex: 7696	Char [皖]
ID: 30361	Hex: 7699	Char [皙]
ID: 30362	Hex: 769A	Char [皚]
ID: 30384	Hex: 76B0	Char [皰]
ID: 30388	Hex: 76B4	Char [皴]
ID: 30392	Hex: 76B8	Char [皸]
ID: 30393	Hex: 76B9	Char [皹]
ID: 30394	Hex: 76BA	Char [皺]
ID: 30402	Hex: 76C2	Char [盂]
ID: 30413	Hex: 76CD	Char [盍]
ID: 30422	Hex: 76D6	Char [盖]
ID: 30418	Hex: 76D2	Char [盒]
ID: 30430	Hex: 76DE	Char [盞]
ID: 30433	Hex: 76E1	Char [盡]
ID: 30437	Hex: 76E5	Char [盥]
ID: 30442	Hex: 76EA	Char [盪]
ID: 34351	Hex: 862F	Char [蘯]
ID: 30459	Hex: 76FB	Char [盻]
ID: 30472	Hex: 7708	Char [眈]
ID: 30471	Hex: 7707	Char [眇]
ID: 30951	Hex: 78E7	Char [磧]
ID: 30938	Hex: 78DA	Char [磚]
ID: 30973	Hex: 78FD	Char [磽]
ID: 30964	Hex: 78F4	Char [磴]
ID: 30983	Hex: 7907	Char [礇]
ID: 30994	Hex: 7912	Char [礒]
ID: 30993	Hex: 7911	Char [礑]
ID: 31001	Hex: 7919	Char [礙]
ID: 31020	Hex: 792C	Char [礬]
ID: 31019	Hex: 792B	Char [礫]
ID: 31040	Hex: 7940	Char [祀]
ID: 31072	Hex: 7960	Char [祠]
ID: 31066	Hex: 795A	Char [祚]
ID: 31061	Hex: 7955	Char [祕]
ID: 31059	Hex: 7953	Char [祓]
ID: 31098	Hex: 797A	Char [祺]
ID: 31103	Hex: 797F	Char [祿]
ID: 31114	Hex: 798A	Char [禊]
ID: 31133	Hex: 799D	Char [禝]
ID: 31143	Hex: 79A7	Char [禧]
ID: 31146	Hex: 79AA	Char [禪]
ID: 31155	Hex: 79B3	Char [禳]
ID: 31161	Hex: 79B9	Char [禹]
ID: 31162	Hex: 79BA	Char [禺]
ID: 31177	Hex: 79C9	Char [秉]
ID: 31189	Hex: 79D5	Char [秕]
ID: 31207	Hex: 79E7	Char [秧]
ID: 31565	Hex: 7B4D	Char [筍]
ID: 31499	Hex: 7B0B	Char [笋]
ID: 31564	Hex: 7B4C	Char [筌]
ID: 31557	Hex: 7B45	Char [筅]
ID: 31605	Hex: 7B75	Char [筵]
ID: 31589	Hex: 7B65	Char [筥]
ID: 31604	Hex: 7B74	Char [筴]
ID: 31591	Hex: 7B67	Char [筧]
ID: 31600	Hex: 7B70	Char [筰]
ID: 31601	Hex: 7B71	Char [筱]
ID: 31596	Hex: 7B6C	Char [筬]
ID: 31598	Hex: 7B6E	Char [筮]
ID: 31645	Hex: 7B9D	Char [箝]
ID: 31640	Hex: 7B98	Char [箘]
ID: 31647	Hex: 7B9F	Char [箟]
ID: 31629	Hex: 7B8D	Char [箍]
ID: 31644	Hex: 7B9C	Char [箜]
ID: 31642	Hex: 7B9A	Char [箚]
ID: 31631	Hex: 7B8F	Char [箏]
ID: 31581	Hex: 7B5D	Char [筝]
ID: 31641	Hex: 7B99	Char [箙]
ID: 31691	Hex: 7BCB	Char [篋]
